sut,komoditas,provinsi,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
,,,,,,,,,,,tradable capital,input,tradable capital,Dumptruck  ,Rp/unit,450000000,450000000,aktual,2,,,,,,,,,2,,,,,,,,,,2,,,,,2,,,,,
,,,,,,,,,,,factor labor,input,tenaga kerja ahli,Supervisor & Manager,Rp/thn,336000000,336000000,paket,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,factor labor,input,tenaga kerja ahli,Staff,Rp/thn,995670000,995670000,paket,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,factor labor,input,tenaga kerja ahli,forest demarcation,Rp/ha,45000,45000,ha,500,500,500,500,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,factor labor,input,tenaga kerja ahli,micro survey for conversion,Rp/ha,22500,22500,ha,500,500,500,500,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,factor labor,input,tenaga kerja ahli,pre survey,Rp/ha,18750,18750,ha,500,500,500,500,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,factor labor,input,tenaga kerja ahli,feasibility study,Rp/ha,37500,37500,ha,500,500,500,500,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,factor labor,input,tenaga kerja ahli,landuse planning,Rp/ha,210000,210000,ha,500,500,500,500,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,factor labor,input,tenaga kerja unskilled,Site prep.,Rp/ha,6000000,6000000,ha,500,500,500,500,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,factor labor,input,tenaga kerja unskilled,Drainage Prep.,Rp/ps-d,60000,60000,hok,25000,25000,25000,25000,25000,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
