no,sut,nama_komoditas,prov,wilayah,tahun_analisis,tipe_lahan,lokasi,tipe_landuse,sampingan,siklus tanam
53,AGROFORESTRI,KEBUN CAMPUR AF,JAMBI,JAMBI,2018,MINERAL,"MERANGIN. KERINCI, BATANGHARI",KEBUN,,
54,AGROFORESTRI,KELAPA AF,JAMBI,JAMBI,2018,GAMBUT,TANJABAR,KEBUN,,
55,AGROFORESTRI,LOGGING AF,JAMBI,JAMBI,2018,MINERAL,TANJABAR,KEBUN,,
56,AGROFORESTRI,KOPI AF,JAMBI,JAMBI,2018,MINERAL,KERINCI,KEBUN,,
57,MONOKULTUR,JAGUNG,JAMBI,JAMBI,2018,MINERAL,TANJABAR,KEBUN,,
58,MONOKULTUR,KARET,JAMBI,JAMBI,2018,MINERAL,MUARA JAMBI,KEBUN,,
59,MONOKULTUR,KAYU MANIS  ,JAMBI,JAMBI,2018,MINERAL,KERINCI,KEBUN,,
60,MONOKULTUR,KELAPA SAWIT LARGE SCALE,JAMBI,JAMBI,2018,MINERAL,TANJABAR,KEBUN,,
61,MONOKULTUR,KELAPA SAWIT,JAMBI,JAMBI,2018,MINERAL,JAMBI,KEBUN,PADI,
62,MONOKULTUR,KELAPA,JAMBI,JAMBI,2018,MINERAL,TANJABAR,KEBUN,,
63,MONOKULTUR,PADI IRIGASI,JAMBI,JAMBI,2018,MINERAL,JAMBI,SAWAH,,
64,MONOKULTUR,COKLAT,PAPUA,PAPUA,2018,MINERAL,ARSO,KEBUN,,
65,MONOKULTUR,JAGUNG,PAPUA,PAPUA,2018,MINERAL,MERAUKE,KEBUN,,
66,MONOKULTUR,KARET,PAPUA,PAPUA,2018,MINERAL,KAMPUNG SEED AGUNG,KEBUN,,
67,MONOKULTUR,KELAPA SAWIT LARGE SCALE,PAPUA,PAPUA,2018,MINERAL,PAPUA,KEBUN,,
68,MONOKULTUR,KELAPA SAWIT,PAPUA,PAPUA,2018,MINERAL,ARSO,KEBUN,PADI,
69,MONOKULTUR,KELAPA,PAPUA,PAPUA,2018,MINERAL,KOYA,KEBUN,,
70,MONOKULTUR,KOPI   ,PAPUA,PAPUA,2018,MINERAL,JAYAWIJAYA,KEBUN,,
71,MONOKULTUR,PADI,PAPUA,PAPUA,2018,MINERAL,MERAUKE,SAWAH,,
72,MONOKULTUR,PINANG,PAPUA,PAPUA,2018,MINERAL,SENTANI,KEBUN,,
73,MONOKULTUR,SAGU,PAPUA,PAPUA,2018,MINERAL,KOYA,KEBUN,,
74,AGROFORESTRI,KEBUN CAMPUR AF,PAPUA BARAT,PAPUA BARAT,2018,MINERAL,PALA,KEBUN,,
75,MONOKULTUR,COKLAT,PAPUA BARAT,PAPUA BARAT,2018,MINERAL,PAPUA BARAT,KEBUN,,
76,MONOKULTUR,JAGUNG,PAPUA BARAT,PAPUA BARAT,2018,MINERAL,PAPUA BARAT,KEBUN,,
77,MONOKULTUR,KELAPA SAWIT LARGE SCALE,PAPUA BARAT,PAPUA BARAT,2018,MINERAL,PAPUA BARAT,KEBUN,,
78,MONOKULTUR,KELAPA SAWIT,PAPUA BARAT,PAPUA BARAT,2018,MINERAL,PAPUA BARAT,KEBUN,PADI,
79,MONOKULTUR,KELAPA,PAPUA BARAT,PAPUA BARAT,2018,MINERAL,KOYA,KEBUN,,
80,MONOKULTUR,PADI IRIGASI,PAPUA BARAT,PAPUA BARAT,2018,MINERAL,PAPUA BARAT,SAWAH,bugs,
81,MONOKULTUR,PINANG,PAPUA BARAT,PAPUA BARAT,2018,MINERAL,PAPUA BARAT,KEBUN,,
82,MONOKULTUR,SAGU,PAPUA BARAT,PAPUA BARAT,2018,MINERAL,PAPUA BARAT,KEBUN,,
83,AGROFORESTRI,DUKU AF,JAWA TENGAH,PURBALINGGA,2016,MINERAL,PURBALINGGA,KEBUN,,
84,AGROFORESTRI,KEBUN CAMPUR AF,JAWA TENGAH,PURBALINGGA,2016,MINERAL,PURBALINGGA,KEBUN,,
