fid,provinsi,kecamatan,desa,kabkot
32604,JAWA TENGAH,KALIWIRO,CLEDOK,WONOSOBO
32605,JAWA TENGAH,KEPIL,KALIWULUH,WONOSOBO
32606,JAWA TENGAH,SAPURAN,TALUNOMBO,WONOSOBO
32607,JAWA TENGAH,SAPURAN,SUROJOYO,WONOSOBO
32608,JAWA TENGAH,SAPURAN,KARANGSARI,WONOSOBO
32609,JAWA TENGAH,KALIWIRO,PURWOSARI,WONOSOBO
32610,JAWA TENGAH,KEPIL,TEGALGOT,WONOSOBO
32611,JAWA TENGAH,SAPURAN,GLAGAH,WONOSOBO
32612,JAWA TENGAH,KALIWIRO,LEBAK,WONOSOBO
32613,JAWA TENGAH,WADASLINTANG,KALIDADAP,WONOSOBO
32614,JAWA TENGAH,KALIWIRO,NGADISONO,WONOSOBO
32615,JAWA TENGAH,WADASLINTANG,NGALIAN,WONOSOBO
32616,JAWA TENGAH,WADASLINTANG,GUMELAR,WONOSOBO
32617,JAWA TENGAH,KALIBAWANG,PENGARENGAN,WONOSOBO
32618,JAWA TENGAH,WADASLINTANG,SOMOGEDE,WONOSOBO
32619,JAWA TENGAH,WADASLINTANG,TIRIP,WONOSOBO
32620,JAWA TENGAH,WADASLINTANG,WADASLINTANG,WONOSOBO
32621,JAWA TENGAH,KEPIL,BURAT,WONOSOBO
32622,JAWA TENGAH,WADASLINTANG,PANERUSAN,WONOSOBO
32623,JAWA TENGAH,WADASLINTANG,KARANG ANYAR,WONOSOBO
32624,JAWA TENGAH,WADASLINTANG,EROREJO,WONOSOBO
32625,JAWA TENGAH,WADASLINTANG,SUMBEREJO,WONOSOBO
32626,JAWA TENGAH,GARUNG,LENGKONG,WONOSOBO
32627,JAWA TENGAH,GARUNG,KAYUGIYANG,WONOSOBO
32628,JAWA TENGAH,MOJOTENGAH,PUNGANGAN,WONOSOBO
32629,JAWA TENGAH,WATUMALANG,KRINJING,WONOSOBO
32630,JAWA TENGAH,SUKOHARJO,MERGOSARI,WONOSOBO
32631,JAWA TENGAH,LEKSONO,TIMBANG,WONOSOBO
32632,JAWA TENGAH,SUKOHARJO,SUROYUDAN,WONOSOBO
32633,JAWA TENGAH,SUKOHARJO,JEBENGPLAMPITAN,WONOSOBO
32634,JAWA TENGAH,SUKOHARJO,SUKOHARJO,WONOSOBO
32635,JAWA TENGAH,SUKOHARJO,GUMIWANG,WONOSOBO
32636,JAWA TENGAH,WATUMALANG,GUMAWANG KIDUL,WONOSOBO
32637,JAWA TENGAH,SUKOHARJO,KALIBENING,WONOSOBO
32638,JAWA TENGAH,MOJOTENGAH,LARANGAN KULON,WONOSOBO
32639,JAWA TENGAH,MOJOTENGAH,BUMIREJO,WONOSOBO
32640,JAWA TENGAH,MOJOTENGAH,KEBRENGAN,WONOSOBO
32641,JAWA TENGAH,SUKOHARJO,KARANGANYAR,WONOSOBO
32642,JAWA TENGAH,SUKOHARJO,ROGOJATI,WONOSOBO
32643,JAWA TENGAH,WATUMALANG,BANYUKEMBAR,WONOSOBO
32644,JAWA TENGAH,WATUMALANG,WONOKAMPIR,WONOSOBO
32645,JAWA TENGAH,WATUMALANG,LUMAJANG,WONOSOBO
32646,JAWA TENGAH,MOJOTENGAH,GUNTUR MADU,WONOSOBO
32647,JAWA TENGAH,MOJOTENGAH,DERONGISOR,WONOSOBO
32648,JAWA TENGAH,MOJOTENGAH,MOJOSARI,WONOSOBO
32649,JAWA TENGAH,LEKSONO,BESANI,WONOSOBO
32650,JAWA TENGAH,LEKSONO,WONOKERTO,WONOSOBO
32651,JAWA TENGAH,SUKOHARJO,GARUNGLOR,WONOSOBO
32652,JAWA TENGAH,SUKOHARJO,GUNUNGTUGEL,WONOSOBO
32653,JAWA TENGAH,SUKOHARJO,PUCUNGWETAN,WONOSOBO
32654,JAWA TENGAH,WATUMALANG,KURIPAN,WONOSOBO
32655,JAWA TENGAH,LEKSONO,PACARMULYO,WONOSOBO
32656,JAWA TENGAH,WATUMALANG,GONDANG,WONOSOBO
32657,JAWA TENGAH,WATUMALANG,WONOROTO,WONOSOBO
32658,JAWA TENGAH,LEKSONO,DURENSAWIT,WONOSOBO
32659,JAWA TENGAH,WATUMALANG,LIMBANGAN,WONOSOBO
32660,JAWA TENGAH,SELOMERTO,KECIS,WONOSOBO
32661,JAWA TENGAH,LEKSONO,SAWANGAN,WONOSOBO
32662,JAWA TENGAH,LEKSONO,SELOKROMO,WONOSOBO
32663,JAWA TENGAH,SELOMERTO,KRASAK,WONOSOBO
32664,JAWA TENGAH,SUKOHARJO,PLODONGAN,WONOSOBO
32665,JAWA TENGAH,SELOMERTO,GUNUNGTAWANG,WONOSOBO
32666,JAWA TENGAH,SELOMERTO,KALIERANG,WONOSOBO
32667,JAWA TENGAH,SELOMERTO,SELOMERTO,WONOSOBO
32668,JAWA TENGAH,SELOMERTO,SIMBAREJO,WONOSOBO
32669,JAWA TENGAH,SELOMERTO,KADIPATEN,WONOSOBO
32670,JAWA TENGAH,SELOMERTO,SEMAYU,WONOSOBO
32671,JAWA TENGAH,SELOMERTO,SINDUAGUNG,WONOSOBO
32672,JAWA TENGAH,GARUNG,SENDANGSARI,WONOSOBO
32673,JAWA TENGAH,KEJAJAR,SERANG,WONOSOBO
32674,JAWA TENGAH,KEJAJAR,TIENG,WONOSOBO
32675,JAWA TENGAH,KERTEK,BOJASARI,WONOSOBO
32676,JAWA TENGAH,KERTEK,PAGEREJO,WONOSOBO
32677,JAWA TENGAH,KALIKAJAR,BOWONGSO,WONOSOBO
32678,JAWA TENGAH,KALIKAJAR,KEMBARAN,WONOSOBO
32679,JAWA TENGAH,KALIKAJAR,REJOSARI,WONOSOBO
32680,JAWA TENGAH,KALIKAJAR,MANGUNREJO,WONOSOBO
32681,JAWA TENGAH,SAPURAN,BANYUMUDAL,WONOSOBO
32682,JAWA TENGAH,SAPURAN,SEDAYU,WONOSOBO
32683,JAWA TENGAH,KEPIL,ROPOH,WONOSOBO
32684,JAWA TENGAH,SAPURAN,PECEKELAN,WONOSOBO
32685,JAWA TENGAH,SAPURAN,TEMPURSARI,WONOSOBO
32686,JAWA TENGAH,KERTEK,SUMBERDALEM,WONOSOBO
32687,JAWA TENGAH,KERTEK,CANDIYASAN,WONOSOBO
32688,JAWA TENGAH,KERTEK,SINDUPATEN,WONOSOBO
32689,JAWA TENGAH,KEPIL,TANJUNGANOM,WONOSOBO
32690,JAWA TENGAH,KEPIL,KALIPURU,WONOSOBO
32691,JAWA TENGAH,KEPIL,NGALIAN,WONOSOBO
32692,JAWA TENGAH,WONOSOBO,BOMERTO,WONOSOBO
32693,JAWA TENGAH,WONOSOBO,ROJOIMO,WONOSOBO
32694,JAWA TENGAH,KERTEK,PURWOJATI,WONOSOBO
32695,JAWA TENGAH,KERTEK,KARANGLUHUR,WONOSOBO
32696,JAWA TENGAH,SAPURAN,SAPURAN,WONOSOBO
32697,JAWA TENGAH,KEPIL,RANDUSARI,WONOSOBO
32698,JAWA TENGAH,WONOSOBO,TLOGOJATI,WONOSOBO
32699,JAWA TENGAH,MOJOTENGAH,SLUKATAN,WONOSOBO
32700,JAWA TENGAH,MOJOTENGAH,BLEDERAN,WONOSOBO
32701,JAWA TENGAH,GARUNG,SITIHARJO,WONOSOBO
32702,JAWA TENGAH,KALIKAJAR,MADURETNO,WONOSOBO
32703,JAWA TENGAH,SELOMERTO,BALEKAMBANG,WONOSOBO
32704,JAWA TENGAH,SELOMERTO,KARANGREJO,WONOSOBO
32705,JAWA TENGAH,SELOMERTO,PLOBANGAN,WONOSOBO
32706,JAWA TENGAH,SELOMERTO,SUMBERWULAN,WONOSOBO
32707,JAWA TENGAH,KERTEK,TLOGODALEM,WONOSOBO
32708,JAWA TENGAH,KERTEK,NGADIKUSUMAN,WONOSOBO
32709,JAWA TENGAH,KERTEK,BEJIARUM,WONOSOBO
32710,JAWA TENGAH,LEKSONO,MANGGIS,WONOSOBO
32711,JAWA TENGAH,SUKOHARJO,TLOGO,WONOSOBO
32712,JAWA TENGAH,LEKSONO,KALIMENDONG,WONOSOBO
32713,JAWA TENGAH,MOJOTENGAH,ANDONGSILI,WONOSOBO
32714,JAWA TENGAH,KERTEK,BANJAR,WONOSOBO
32715,JAWA TENGAH,KERTEK,PURBOSONO,WONOSOBO
32716,JAWA TENGAH,KALIKAJAR,BUTUH KIDUL,WONOSOBO
32717,JAWA TENGAH,SAPURAN,NGADISALAM,WONOSOBO
32718,JAWA TENGAH,KERTEK,KERTEK,WONOSOBO
32719,JAWA TENGAH,WONOSOBO,SARIYOSO,WONOSOBO
32720,JAWA TENGAH,SELOMERTO,WONOREJO,WONOSOBO
32721,JAWA TENGAH,WONOSOBO,BUMIRESO,WONOSOBO
32722,JAWA TENGAH,WONOSOBO,PANCURWENING,WONOSOBO
32723,JAWA TENGAH,MOJOTENGAH,SUKOREJO,WONOSOBO
32724,JAWA TENGAH,MOJOTENGAH,KALIBEBER,WONOSOBO
32725,JAWA TENGAH,KEPIL,KAPULOGO,WONOSOBO
32726,JAWA TENGAH,KEPIL,KAGUNGAN,WONOSOBO
32727,JAWA TENGAH,MOJOTENGAH,KRASAK,WONOSOBO
32728,JAWA TENGAH,GARUNG,GEMBLENGAN,WONOSOBO
32729,JAWA TENGAH,MOJOTENGAH,WONOKROMO,WONOSOBO
32730,JAWA TENGAH,SELOMERTO,PAKUNCEN,WONOSOBO
32731,JAWA TENGAH,SELOMERTO,TUMENGGUNGAN,WONOSOBO
32732,JAWA TENGAH,WONOSOBO,JOGOYITNAN,WONOSOBO
32733,JAWA TENGAH,KEPIL,GONDOWULAN,WONOSOBO
32734,JAWA TENGAH,KEPIL,BERAN,WONOSOBO
32735,JAWA TENGAH,KEPIL,TEGES WETAN,WONOSOBO
32736,JAWA TENGAH,KEPIL,BENER,WONOSOBO
32737,JAWA TENGAH,KEPIL,JANGKRIKAN,WONOSOBO
32738,JAWA TENGAH,KEPIL,KEPIL,WONOSOBO
32739,JAWA TENGAH,KERTEK,WRINGINANOM,WONOSOBO
32740,JAWA TENGAH,KALIBAWANG,KALIKARUNG,WONOSOBO
32741,JAWA TENGAH,KALIBAWANG,DEMPEL,WONOSOBO
32742,JAWA TENGAH,KALIBAWANG,DEPOK,WONOSOBO
32743,JAWA TENGAH,KALIWIRO,SELOMANIK,WONOSOBO
32744,JAWA TENGAH,KALIBAWANG,TEMPUREJO,WONOSOBO
32745,JAWA TENGAH,KALIBAWANG,MERGOLANGU,WONOSOBO
32746,JAWA TENGAH,KALIBAWANG,KARANGSAMBUNG,WONOSOBO
32747,JAWA TENGAH,KALIWIRO,SUKORENO,WONOSOBO
32748,JAWA TENGAH,KALIBAWANG,KALIALANG,WONOSOBO
32749,JAWA TENGAH,KALIWIRO,WINONGSARI,WONOSOBO
32750,JAWA TENGAH,KALIWIRO,KAUMAN,WONOSOBO
32751,JAWA TENGAH,KALIWIRO,BENDUNGAN,WONOSOBO
32752,JAWA TENGAH,WONOSOBO,PAGERKUKUH,WONOSOBO
32753,JAWA TENGAH,WONOSOBO,WONOLELO,WONOSOBO
32754,JAWA TENGAH,WONOSOBO,TAWANGSARI,WONOSOBO
32755,JAWA TENGAH,WONOSOBO,KRAMATAN,WONOSOBO
32756,JAWA TENGAH,WONOSOBO,MLIPAK,WONOSOBO
32757,JAWA TENGAH,WONOSOBO,JARAKSARI,WONOSOBO
32758,JAWA TENGAH,WATUMALANG,BUMIROSO,WONOSOBO
32759,JAWA TENGAH,KALIWIRO,GRUGU,WONOSOBO
32760,JAWA TENGAH,KALIWIRO,PESODONGAN,WONOSOBO
32761,JAWA TENGAH,KALIWIRO,KALIGUWO,WONOSOBO
32762,JAWA TENGAH,KALIWIRO,NGASINAN,WONOSOBO
32763,JAWA TENGAH,KALIWIRO,PUCUNGKEREP,WONOSOBO
32764,JAWA TENGAH,KALIWIRO,GAMBARAN,WONOSOBO
32765,JAWA TENGAH,KALIWIRO,TANJUNGANOM,WONOSOBO
32766,JAWA TENGAH,KALIWIRO,TRACAP,WONOSOBO
32767,JAWA TENGAH,KALIWIRO,KALIWIRO,WONOSOBO
32768,JAWA TENGAH,KALIWIRO,MEDONO,WONOSOBO
32769,JAWA TENGAH,WADASLINTANG,KALIGOWONG,WONOSOBO
32770,JAWA TENGAH,WADASLINTANG,SUMBERSARI,WONOSOBO
32771,JAWA TENGAH,KALIWIRO,LAMUK,WONOSOBO
32772,JAWA TENGAH,WADASLINTANG,KUMEJING,WONOSOBO
32773,JAWA TENGAH,WADASLINTANG,LANCAR,WONOSOBO
32774,JAWA TENGAH,WADASLINTANG,BESUKI,WONOSOBO
32775,JAWA TENGAH,KERTEK,RECO,WONOSOBO
32776,JAWA TENGAH,KALIKAJAR,BUTUH,WONOSOBO
32777,JAWA TENGAH,WADASLINTANG,TRIMULYO,WONOSOBO
32778,JAWA TENGAH,MOJOTENGAH,CANDIREJO,WONOSOBO
32779,JAWA TENGAH,MOJOTENGAH,SOJOPURO,WONOSOBO
32780,JAWA TENGAH,WONOSOBO,WONOSARI,WONOSOBO
32781,JAWA TENGAH,WONOSOBO,KALIANGET,WONOSOBO
32782,JAWA TENGAH,MOJOTENGAH,MUDAL,WONOSOBO
32783,JAWA TENGAH,WONOSOBO,JLAMPRANG,WONOSOBO
32784,JAWA TENGAH,WONOSOBO,SAMBEK,WONOSOBO
32785,JAWA TENGAH,WONOSOBO,KEJIWAN,WONOSOBO
32786,JAWA TENGAH,LEKSONO,LIPURSARI,WONOSOBO
32787,JAWA TENGAH,WADASLINTANG,PLUNJARAN,WONOSOBO
32788,JAWA TENGAH,WONOSOBO,WONOSOBO BARAT,WONOSOBO
32789,JAWA TENGAH,WONOSOBO,WONOSOBO TIMUR,WONOSOBO
32790,JAWA TENGAH,SUKOHARJO,KAJEKSAN,WONOSOBO
32791,JAWA TENGAH,LEKSONO,JONGGOLSARI,WONOSOBO
32792,JAWA TENGAH,LEKSONO,JLAMPRANG,WONOSOBO
32793,JAWA TENGAH,LEKSONO,LEKSONO,WONOSOBO
32794,JAWA TENGAH,KEPIL,GADINGSUKUH,WONOSOBO
32795,JAWA TENGAH,SUKOHARJO,SEMPOL,WONOSOBO
32796,JAWA TENGAH,KEJAJAR,SIGEDANG,WONOSOBO
32797,JAWA TENGAH,KEJAJAR,KEJAJAR,WONOSOBO
32798,JAWA TENGAH,KERTEK,DAMARKASIAN,WONOSOBO
32799,JAWA TENGAH,KERTEK,TLOGOMULYO,WONOSOBO
32800,JAWA TENGAH,KEPIL,REJOSARI,WONOSOBO
32801,JAWA TENGAH,KEPIL,GADINGREJO,WONOSOBO
32802,JAWA TENGAH,KEJAJAR,CAMPURSARI,WONOSOBO
32803,JAWA TENGAH,WATUMALANG,KALIDESEL,WONOSOBO
32804,JAWA TENGAH,WATUMALANG,BINANGUN,WONOSOBO
32805,JAWA TENGAH,WATUMALANG,PASURUHAN,WONOSOBO
32806,JAWA TENGAH,WATUMALANG,WATUMALANG,WONOSOBO
32807,JAWA TENGAH,WATUMALANG,WONOSROYO,WONOSOBO
32808,JAWA TENGAH,SUKOHARJO,KUPANGAN,WONOSOBO
32809,JAWA TENGAH,SALAMAN,NGARGORETNO,MAGELANG
32810,JAWA TENGAH,SALAMAN,PARIPURNO,MAGELANG
32811,JAWA TENGAH,SALAMAN,KALIREJO,MAGELANG
32812,JAWA TENGAH,SALAMAN,MENOREH,MAGELANG
32813,JAWA TENGAH,SALAMAN,NGADIREJO,MAGELANG
32814,JAWA TENGAH,SALAMAN,SIDOMULYO,MAGELANG
32815,JAWA TENGAH,SALAMAN,KEBONREJO,MAGELANG
32816,JAWA TENGAH,SALAMAN,SALAMAN,MAGELANG
32817,JAWA TENGAH,SALAMAN,KALISALAK,MAGELANG
32818,JAWA TENGAH,SALAMAN,SRIWEDARI,MAGELANG
32819,JAWA TENGAH,SALAMAN,JEBENGSARI,MAGELANG
32820,JAWA TENGAH,SALAMAN,TANJUNGANOM,MAGELANG
32821,JAWA TENGAH,SALAMAN,BANJARHARJO,MAGELANG
32822,JAWA TENGAH,SALAMAN,PURWOSARI,MAGELANG
32823,JAWA TENGAH,SALAMAN,NGAMPELDENTO,MAGELANG
32824,JAWA TENGAH,SALAMAN,SIDOSARI,MAGELANG
32825,JAWA TENGAH,SALAMAN,SAWANGARGO,MAGELANG
32826,JAWA TENGAH,SALAMAN,KRASAK,MAGELANG
32827,JAWA TENGAH,SALAMAN,MARGOYOSO,MAGELANG
32828,JAWA TENGAH,SALAMAN,KALIABU,MAGELANG
32829,JAWA TENGAH,BOROBUDUR,GIRIPURNO,MAGELANG
32830,JAWA TENGAH,BOROBUDUR,TUKSONGO,MAGELANG
32831,JAWA TENGAH,BOROBUDUR,MAJAKSINGI,MAGELANG
32832,JAWA TENGAH,BOROBUDUR,KENALAN,MAGELANG
32833,JAWA TENGAH,BOROBUDUR,BIGARAN,MAGELANG
32834,JAWA TENGAH,BOROBUDUR,SAMBENG,MAGELANG
32835,JAWA TENGAH,BOROBUDUR,CANDIREJO,MAGELANG
32836,JAWA TENGAH,BOROBUDUR,NGARGOGONDO,MAGELANG
32837,JAWA TENGAH,BOROBUDUR,WANUREJO,MAGELANG
32838,JAWA TENGAH,BOROBUDUR,BOROBUDUR,MAGELANG
32839,JAWA TENGAH,BOROBUDUR,TANJUNGSARI,MAGELANG
32840,JAWA TENGAH,BOROBUDUR,KARANGANYAR,MAGELANG
32841,JAWA TENGAH,BOROBUDUR,KARANGREJO,MAGELANG
32842,JAWA TENGAH,BOROBUDUR,NGADIHARJO,MAGELANG
32843,JAWA TENGAH,BOROBUDUR,KEBONSARI,MAGELANG
32844,JAWA TENGAH,BOROBUDUR,KEMBANGLIMUS,MAGELANG
32845,JAWA TENGAH,BOROBUDUR,WRINGINPUTIH,MAGELANG
32846,JAWA TENGAH,BOROBUDUR,BUMIHARJO,MAGELANG
32847,JAWA TENGAH,NGLUWAR,BLIGO,MAGELANG
32848,JAWA TENGAH,NGLUWAR,PAKUNDEN,MAGELANG
32849,JAWA TENGAH,NGLUWAR,SOMOKATON,MAGELANG
32850,JAWA TENGAH,NGLUWAR,NGLUWAR,MAGELANG
32851,JAWA TENGAH,NGLUWAR,KARANGTALUN,MAGELANG
32852,JAWA TENGAH,NGLUWAR,JAMUSKAUMAN,MAGELANG
32853,JAWA TENGAH,NGLUWAR,PLOSOGEDE,MAGELANG
32854,JAWA TENGAH,NGLUWAR,BLONGKENG,MAGELANG
32855,JAWA TENGAH,SALAM,SIRAHAN,MAGELANG
32856,JAWA TENGAH,SALAM,TERSAN GEDE,MAGELANG
32857,JAWA TENGAH,SALAM,BATURONO,MAGELANG
32858,JAWA TENGAH,SALAM,TIRTO,MAGELANG
32859,JAWA TENGAH,SALAM,SELOBORO,MAGELANG
32860,JAWA TENGAH,SALAM,GULON,MAGELANG
32861,JAWA TENGAH,SALAM,JUMOYO,MAGELANG
32862,JAWA TENGAH,SALAM,SOMOKETRO,MAGELANG
32863,JAWA TENGAH,SALAM,KADILUWIH,MAGELANG
32864,JAWA TENGAH,SALAM,MANTINGAN,MAGELANG
32865,JAWA TENGAH,SALAM,SALAM,MAGELANG
32866,JAWA TENGAH,SRUMBUNG,SUDIMORO,MAGELANG
32867,JAWA TENGAH,SRUMBUNG,NGLUMUT,MAGELANG
32868,JAWA TENGAH,SRUMBUNG,KALIURANG,MAGELANG
32869,JAWA TENGAH,SRUMBUNG,KEMIREN,MAGELANG
32870,JAWA TENGAH,SRUMBUNG,KAMONGAN,MAGELANG
32871,JAWA TENGAH,SRUMBUNG,JERUKAGUNG,MAGELANG
32872,JAWA TENGAH,SRUMBUNG,KRADENAN,MAGELANG
32873,JAWA TENGAH,SRUMBUNG,NGABLAK,MAGELANG
32874,JAWA TENGAH,SRUMBUNG,SRUMBUNG,MAGELANG
32875,JAWA TENGAH,SRUMBUNG,BRINGIN,MAGELANG
32876,JAWA TENGAH,SRUMBUNG,MRANGGEN,MAGELANG
32877,JAWA TENGAH,SRUMBUNG,NGARGOSOKO,MAGELANG
32878,JAWA TENGAH,SRUMBUNG,POLENGAN,MAGELANG
32879,JAWA TENGAH,SRUMBUNG,PUCANGANOM,MAGELANG
32880,JAWA TENGAH,SRUMBUNG,PANDANRETNO,MAGELANG
32881,JAWA TENGAH,SRUMBUNG,TEGALRANDU,MAGELANG
32882,JAWA TENGAH,DUKUN,KETUNGGENG,MAGELANG
32883,JAWA TENGAH,DUKUN,NGADIPURO,MAGELANG
32884,JAWA TENGAH,DUKUN,WATES,MAGELANG
32885,JAWA TENGAH,DUKUN,KALIBENING,MAGELANG
32886,JAWA TENGAH,DUKUN,NGARGOMULYO,MAGELANG
32887,JAWA TENGAH,DUKUN,KENINGAR,MAGELANG
32888,JAWA TENGAH,DUKUN,SUMBER,MAGELANG
32889,JAWA TENGAH,DUKUN,DUKUN,MAGELANG
32890,JAWA TENGAH,DUKUN,BANYUBIRU,MAGELANG
32891,JAWA TENGAH,DUKUN,BANYUDONO,MAGELANG
32892,JAWA TENGAH,DUKUN,MANGUNSOKO,MAGELANG
32893,JAWA TENGAH,DUKUN,SEWUKAN,MAGELANG
32894,JAWA TENGAH,DUKUN,KRINJING,MAGELANG
32895,JAWA TENGAH,DUKUN,PATEN,MAGELANG
32896,JAWA TENGAH,MUNTILAN,TANJUNG,MAGELANG
32897,JAWA TENGAH,MUNTILAN,SOKORINI,MAGELANG
32898,JAWA TENGAH,MUNTILAN,SRIWEDARI,MAGELANG
32899,JAWA TENGAH,MUNTILAN,CONGKRANG,MAGELANG
32900,JAWA TENGAH,MUNTILAN,ADIKARTO,MAGELANG
32901,JAWA TENGAH,MUNTILAN,MENAYU,MAGELANG
32902,JAWA TENGAH,MUNTILAN,KEJI,MAGELANG
32903,JAWA TENGAH,MUNTILAN,NGAWEN,MAGELANG
32904,JAWA TENGAH,MUNTILAN,GUNUNGPRING,MAGELANG
32905,JAWA TENGAH,MUNTILAN,PUCUNGREJO,MAGELANG
32906,JAWA TENGAH,MUNTILAN,TAMANAGUNG,MAGELANG
32907,JAWA TENGAH,MUNTILAN,GONDOSULI,MAGELANG
32908,JAWA TENGAH,MUNTILAN,SEDAYU,MAGELANG
32909,JAWA TENGAH,MUNTILAN,MUNTILAN,MAGELANG
32910,JAWA TENGAH,MUNGKID,PROGOWATI,MAGELANG
32911,JAWA TENGAH,MUNGKID,MENDUT,MAGELANG
32912,JAWA TENGAH,MUNGKID,SAWITAN,MAGELANG
32913,JAWA TENGAH,MUNGKID,RAMBEANAK,MAGELANG
32914,JAWA TENGAH,MUNGKID,NGRAJEK,MAGELANG
32915,JAWA TENGAH,MUNGKID,PABELAN,MAGELANG
32916,JAWA TENGAH,MUNGKID,PAREMONO,MAGELANG
32917,JAWA TENGAH,MUNGKID,BUMIREJO,MAGELANG
32918,JAWA TENGAH,MUNGKID,BLONDO,MAGELANG
32919,JAWA TENGAH,MUNGKID,AMBARTAWANG,MAGELANG
32920,JAWA TENGAH,MUNGKID,MUNGKID,MAGELANG
32921,JAWA TENGAH,MUNGKID,BOJONG,MAGELANG
32922,JAWA TENGAH,MUNGKID,PAGERSARI,MAGELANG
32923,JAWA TENGAH,MUNGKID,SENDEN,MAGELANG
32924,JAWA TENGAH,MUNGKID,TREKO,MAGELANG
32925,JAWA TENGAH,MUNGKID,GONDANG,MAGELANG
32926,JAWA TENGAH,SAWANGAN,GONDOWANGI,MAGELANG
32927,JAWA TENGAH,SAWANGAN,SAWANGAN,MAGELANG
32928,JAWA TENGAH,SAWANGAN,MANGUNSARI,MAGELANG
32929,JAWA TENGAH,SAWANGAN,TIRTOSARI,MAGELANG
32930,JAWA TENGAH,SAWANGAN,PODOSOKO,MAGELANG
32931,JAWA TENGAH,SAWANGAN,BUTUH,MAGELANG
32932,JAWA TENGAH,SAWANGAN,KROGOWANAN,MAGELANG
32933,JAWA TENGAH,SAWANGAN,KAPUHAN,MAGELANG
32934,JAWA TENGAH,SAWANGAN,GANTANG,MAGELANG
32935,JAWA TENGAH,SAWANGAN,JATI,MAGELANG
32936,JAWA TENGAH,SAWANGAN,SORONALAN,MAGELANG
32937,JAWA TENGAH,SAWANGAN,WULUNGGUNUNG,MAGELANG
32938,JAWA TENGAH,SAWANGAN,KETEP,MAGELANG
32939,JAWA TENGAH,SAWANGAN,WONOLELO,MAGELANG
32940,JAWA TENGAH,CANDIMULYO,TAMPIR KULON,MAGELANG
32941,JAWA TENGAH,CANDIMULYO,TAMPIR WETAN,MAGELANG
32942,JAWA TENGAH,CANDIMULYO,BATEH,MAGELANG
32943,JAWA TENGAH,CANDIMULYO,TRENTEN,MAGELANG
32944,JAWA TENGAH,CANDIMULYO,KEBONREJO,MAGELANG
32945,JAWA TENGAH,CANDIMULYO,KEMBARAN,MAGELANG
32946,JAWA TENGAH,CANDIMULYO,TEGALSARI,MAGELANG
32947,JAWA TENGAH,CANDIMULYO,PODOSOKO,MAGELANG
32948,JAWA TENGAH,CANDIMULYO,TEMPAK,MAGELANG
32949,JAWA TENGAH,CANDIMULYO,SIDOMULYO,MAGELANG
32950,JAWA TENGAH,CANDIMULYO,MEJING,MAGELANG
32951,JAWA TENGAH,CANDIMULYO,SUROJOYO,MAGELANG
32952,JAWA TENGAH,CANDIMULYO,CANDIMULYO,MAGELANG
32953,JAWA TENGAH,CANDIMULYO,GIYANTI,MAGELANG
32954,JAWA TENGAH,CANDIMULYO,SONOREJO,MAGELANG
32955,JAWA TENGAH,CANDIMULYO,TEMBELANG,MAGELANG
32956,JAWA TENGAH,CANDIMULYO,TEMPURSARI,MAGELANG
32957,JAWA TENGAH,CANDIMULYO,PURWOREJO,MAGELANG
32958,JAWA TENGAH,CANDIMULYO,SURODADI,MAGELANG
32959,JAWA TENGAH,MERTOYUDAN,DEYANGAN,MAGELANG
32960,JAWA TENGAH,MERTOYUDAN,PASURUHAN,MAGELANG
32961,JAWA TENGAH,MERTOYUDAN,DONOROJO,MAGELANG
32962,JAWA TENGAH,MERTOYUDAN,KALINEGORO,MAGELANG
32963,JAWA TENGAH,MERTOYUDAN,JOGONEGORO,MAGELANG
32964,JAWA TENGAH,MERTOYUDAN,SUKOREJO,MAGELANG
32965,JAWA TENGAH,MERTOYUDAN,BONDOWOSO,MAGELANG
32966,JAWA TENGAH,MERTOYUDAN,DANUREJO,MAGELANG
32967,JAWA TENGAH,MERTOYUDAN,SUMBERREJO,MAGELANG
32968,JAWA TENGAH,MERTOYUDAN,MERTOYUDAN,MAGELANG
32969,JAWA TENGAH,MERTOYUDAN,BANYUROJO,MAGELANG
32970,JAWA TENGAH,MERTOYUDAN,BANJARNEGORO,MAGELANG
32971,JAWA TENGAH,MERTOYUDAN,BULUREJO,MAGELANG
32972,JAWA TENGAH,TEMPURAN,RINGINANOM,MAGELANG
32973,JAWA TENGAH,TEMPURAN,SUMBERARUM,MAGELANG
32974,JAWA TENGAH,TEMPURAN,SIDOAGUNG,MAGELANG
32975,JAWA TENGAH,TEMPURAN,TANGGULREJO,MAGELANG
32976,JAWA TENGAH,TEMPURAN,KALISARI,MAGELANG
32977,JAWA TENGAH,TEMPURAN,GIRIREJO,MAGELANG
32978,JAWA TENGAH,TEMPURAN,TEMPUREJO,MAGELANG
32979,JAWA TENGAH,TEMPURAN,PRAJEKSARI,MAGELANG
32980,JAWA TENGAH,TEMPURAN,TUGUREJO,MAGELANG
32981,JAWA TENGAH,TEMPURAN,JOGOMULYO,MAGELANG
32982,JAWA TENGAH,TEMPURAN,GROWONG,MAGELANG
32983,JAWA TENGAH,TEMPURAN,TEMANGGAL,MAGELANG
32984,JAWA TENGAH,TEMPURAN,PRINGOMBO,MAGELANG
32985,JAWA TENGAH,TEMPURAN,KEMUTUK,MAGELANG
32986,JAWA TENGAH,TEMPURAN,BAWANG,MAGELANG
