sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
,,,,,,,,,,,,Transport ke langkau= 1 hok per 4000 butir,peralatan,input,peralatan,Sprayer,rp/unit,400000,400000,unit,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0
,,,,,,,,,,,,dari 4000 butir dihasilkan 300 kw kopra 75%,peralatan,input,peralatan,Karung,rp/unit,2500,2500,unit,0.0,0.0,0.0,1.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2
,,,,,,,,,,,,,tk persiapan lahan,input,tenaga kerja kelapa,tebas+tebang,rp/HOK,60000,60000,HOK,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
,,,,,,,,,,,,,tk persiapan lahan,input,tenaga kerja kelapa,bakar,rp/HOK,60000,60000,HOK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,,,,,,,,,,,,tenaga kerja kelapa,input,tenaga kerja kelapa,Lubang+pupuk dasar,rp/HOK,60000,60000,HOK,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25
,,,,,,,,,,,,,tenaga kerja kelapa,input,tenaga kerja kelapa,Tanam,rp/HOK,60000,60000,HOK,1.25,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tenaga kerja kelapa,input,tenaga kerja kelapa,Penyemprotan,rp/HOK,60000,60000,HOK,,,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875
,,,,,,,,,,,,,tenaga kerja kelapa,input,tenaga kerja kelapa,Pemanenan,rp/HOK,60000,60000,HOK,,,,,,5.208333333333333,5.208333333333333,5.208333333333333,5.208333333333333,5.208333333333333,5.208333333333333,5.208333333333333,5.208333333333333,5.208333333333333,5.208333333333333,5.208333333333333,5.208333333333333,5.208333333333333,5.208333333333333,5.208333333333333,5.208333333333333,5.208333333333333,5.208333333333333,5.208333333333333,5.208333333333333,5.208333333333333,5.208333333333333,5.208333333333333,5.208333333333333,5.208333333333333
,,,,,,,,,,,,,tenaga kerja kelapa,input,tenaga kerja kelapa,Transport ke langkau,rp/HOK,60000,60000,HOK,,,,,,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
,,,,,,,,,,,,,tk pasca panen kelapa,input,tenaga kerja kelapa,Pemisahan serabut,rp/HOK,60000,60000,HOK,,,,0.0,0.0,1.75,1.75,1.75,1.75,1.75,3.75,3.75,3.75,3.75,3.75,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25
